Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-06,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-07,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-08,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-09,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-12,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-13,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-14,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-15,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-16,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-19,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-20,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-21,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-22,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-23,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-26,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-27,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-28,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-29,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-08-30,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-02,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-03,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-04,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-05,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-06,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-09,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-10,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-11,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-12,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-13,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-16,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-17,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-18,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-19,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-20,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-23,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-24,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-25,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-26,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-27,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-09-30,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-02,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-03,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-04,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-08,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-09,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-10,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-11,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-14,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-15,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-16,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-17,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-18,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-21,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-22,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-23,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-24,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-25,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-28,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-29,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-30,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-10-31,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-01,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-04,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-05,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-06,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-07,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-08,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-11,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-12,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-13,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-14,4.350000,4.350000,4.350000,4.350000,4.350000,0
2019-11-15,4.350000,4.350000,4.350000,4.350000,4.350000,0
